"By Commodity Section","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017 (p)"
"Live animals; animal products","128.85","171.29","161.69","181.32","197.59","236.99","303.53","278.56","280.31","295.58","456.80","379.49","211.15","164.66","190.12","227.16","259.32"
"Vegetable products","428.21","414.01","374.81","306.59","401.71","681.52","818.10","1024.50","1242.33","1070.71","1381.24","1158.65","981.40","1197.37","1182.96","1351.46","1248.39"
"Animal or vegetable fats and  oils and their cleavage products; prepared edible fats;animal or vegetable waxes","-","-","-","-","0.01","0.07","0.08","#","#","0.02","0.02","0.22","0.87","0.86","1.23","1.21","1.18"
"Prepared foodstuffs;beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes","25.42","25.14","23.97","30.96","49.20","47.56","37.49","40.38","38.72","7.38","12.67","12.74","7.89","13.67","26.00","31.04","47.63"
"Mineral products","664.94","942.30","581.60","1046.60","1141.91","2098.63","2599.51","2427.06","2980.08","2525.44","3508.46","3675.47","3557.89","3859.27","2563.88","1777.07","2148.27"
"Products of the chemical or allied industries","0.87","0.93","0.92","0.89","0.73","0.95","0.75","0.57","0.66","1.00","0.62","1.21","5.29","0.55","0.73","6.47","14.51"
"Plastics and articles thereof; rubber and articles  thereof","12.00","13.83","16.64","15.58","35.50","14.54","35.14","23.05","75.71","155.08","132.01","87.10","73.53","49.89","43.08","88.12","105.62"
"Raw hides and skins, leather, furskins and articles  thereof; saddlery and harness; travel   goods,  handbags and similar containers; articles  of animal gut (other than silk - worm gut)","5.58","3.15","2.00","2.69","3.03","2.32","1.07","2.01","2.92","5.09","4.19","6.62","5.89","8.74","7.27","40.61","97.48"
"Wood and articles of wood; wood charcoal;cork and articles  of cork; manufactures of straw, of  esparto or of other plaiting  materials; basketware and wicker-work.","344.25","337.05","363.56","413.53","496.10","539.54","564.71","432.37","516.14","617.32","627.23","584.80","914.18","88.16","206.78","241.04","207.23"
"Pulp of wood or of other fibrous cellulosic material; recovered (waste  and scrap)paper or paperboard; paper and paperboard and articles thereof","0.21","0.08","0.11","0.14","4.89","12.66","3.58","6.74","7.35","7.32","6.38","0.61","0.89","4.85","61.72","2.99","8.03"
"Textiles and textile articles","452.99","461.40","339.47","223.70","277.27","285.89","287.38","296.99","289.25","386.91","501.64","701.25","899.47","1046.38","913.88","1948.45","2617.26"
"Footwear, headgear umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and  parts thereof; prepared feathers and articles made there with;  artificial flowers;  articles of human hair.","14.12","18.07","18.78","22.27","19.91","26.84","25.21","29.54","45.98","56.08","51.77","70.86","62.38","77.71","81.81","175.70","274.98"
"Articles of stone, plaster, cement, abestos, mica or  similar materials; ceremic products; glass  and glassware.","0.36","1.72","0.28","0.36","0.31","0.47","0.20","0.03","0.11","0.07","0.11","0.50","1.89","1.75","0.67","2.02","1.74"
"Natural or cultured pearls,  precious or semi- precious stones, precious metals, metals clad with precious  metal and articles  thereof; imitation jewellery; coin.","18.84","38.17","59.59","108.30","233.03","385.90","645.61","670.83","949.13","2027.81","41.42","12.12","604.32","280.47","282.89","157.14","307.38"
"Base metals and articles of base metal","40.85","42.26","56.48","94.51","110.42","108.50","81.38","28.07","32.01","41.87","70.96","69.63","115.21","397.11","352.40","498.78","1030.08"
"Machinery and mechanical appliances; electrical equipment;  parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles","31.29","9.16","6.45","5.36","3.88","4.18","2.98","1.57","1.71","1.70","1.60","6.32","18.94","26.48","35.88","55.14","90.05"
"Vehicles, aircraft, vessels  and  associated transport equipment","0.53","1.46","1.62","1.54","1.13","2.17","2.48","2.47","2.63","1.68","0.92","1.64","0.87","30.02","1.38","9.81","22.56"
"Optical, photographic, cinemato graphic, measuring,  checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and  accessories thereof.","0.65","0.64","0.83","1.86","2.35","1.59","4.74","10.14","10.96","10.44","15.74","10.52","7.77","28.31","52.23","68.15","75.24"
"Arms and ammunition; parts and accessories there of.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Miscellaneous manufactured articles.","372.70","581.25","347.36","471.62","566.63","781.90","987.28","1503.76","1110.69","1648.85","2030.75","2196.26","3719.56","5227.04","5130.84(r)","5214.58","6281.26"
"Works of art, collectors' pieces and antiques","1.60","0.94","0.65","0.01","12.43","0.46","0.50","0.47","0.25","0.66","291.07","1.00","14.57","20.42","1.13","54.70","12.45"
"GRAND TOTAL","2544.26","3062.85","2356.81","2927.83","3558.03","5232.68","6401.72","6779.11","7586.94","8861.01","9135.60","8977.01","11203.96","12523.71","11136.88","11951.64","14850.66"
